book_no,charge_no,statute,description,level,degree
ASO18JBN007414,#1,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO18JBN007414,#2,800.04.6b,LEWD LASCV BEHAVIOR: CONDUCT BY PERSON 18YOA OR OLDER,F,2nd
ASO18JBN007414,#3,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO18JBN007216,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN007385,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO18JBN005384,#1,316.193.2b3,DUI-UNLAW BLD ALCH: DUI ALCOHOL OR DRUGS 4TH OR SUBSQ OFF,F,3rd
ASO19JBN001501,#1,322.34.2a,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 1ST OFF,M,2nd
ASO19JBN001501,#2,893.13.6a,COCAINE-POSSESS: POSSESS COCAINE,F,3rd
ASO19JBN001501,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000714,#1,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO19JBN001618,#1,812.014.2e,LARC: PETIT THEFT 1ST DEGREE 100 LESS 300 DOLS,M,1st
ASO19JBN001661,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO19JBN001661,#2,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN005345,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001388,#1,901.04.,OUT-OF-COUNTY WARRANT: ,N,N
ASO18JBN004554,#1,322.34.2c,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 3RD OR SUBSQ OFF,F,3rd
ASO18JBN007838,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007838,#2,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007838,#3,790.19,WEAPON OFFENSE: MISSILE INTO DWELLING VEH BUILDING OR AIRCRAFT,F,2nd
ASO18JBN007838,#4,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN000702,#1,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN000702,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000702,#3,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO19JBN000043,#1,322.34.2a,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 1ST OFF,M,2nd
ASO19JBN000043,#2,893.13.6a,COCAINE-POSSESS: POSSESS COCAINE,F,3rd
ASO19JBN000043,#3,951.22.1,SMUGGLE CONTRABAND: INTRODUCE INTO DETENTION FACILITY,F,3rd
ASO19JBN001526,#1,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO19JBN001526,#2,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO19JBN001526,#3,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001526,#4,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001526,#5,831.02,PASS FORGED: ALTERED INSTRUMENT,F,3rd
ASO19JBN001526,#6,831.02,PASS FORGED: ALTERED INSTRUMENT,F,3rd
ASO19JBN000406,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000406,#2,893.13.1a2,AMPHETAMINE-POSSESS: WIT SELL MFG DELIV SCHEDULE II OR III OR IV,F,3rd
ASO19JBN000406,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000406,#4,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO16JBN000863,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO16JBN000863,#2,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO16JBN000863,#3,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO18JBN007134,#1,893.135.5,DRUGS-TRAFFIC: IN CONTROLLED SUBSTANCE,F,1st
ASO19JBN001152,#1,784.021.1a,AGGRAV ASSLT - WEAPON: W DEADLY WEAPON WITHOUT INTENT TO KILL,F,3rd
ASO19JBN001152,#2,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO19JBN001152,#3,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO19JBN001152,#4,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO18JBN006515,#1,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO18JBN006515,#2,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO15JBN105909,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO15JBN105909,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO15JBN105909,#3,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO15JBN105909,#4,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO15JBN105909,#5,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO19JBN001522,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001163,#1,784.045.1a1,AGGRAV BATTERY: CAUSE BODILY HARM OR DISABILITY,F,2nd
ASO19JBN001163,#2,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN001163,#3,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001163,#4,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000830,#1,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO19JBN000830,#2,800.04.5c2,LEWD LASCV BEHAVIOR: VIC 12Y OR OLDR YOUNGER THN 16YOA OFF 18Y OLDR,F,2nd
ASO19JBN000830,#3,794.011.8c,SEX ASSLT: BY 18 YOA OLDR CUSTOD SEX BATT VICT UND 12 YOA,F,C
ASO19JBN000437,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001067,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001243,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,N,N
ASO18JBN001646,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001659,#1,893.135.1c1,DRUGS-TRAFFIC: 4 GRAMS LESS 30 KG OTHER CNTRL SUBST,F,1st
ASO19JBN001659,#2,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN001659,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001332,#1,322.34.2c,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 3RD OR SUBSQ OFF,F,3rd
ASO19JBN001332,#2,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO19JBN001142,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,F,3rd
ASO19JBN000561,#1,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO19JBN000452,#1,812.014.2e,LARC: PETIT THEFT 1ST DEGREE 100 LESS 300 DOLS,M,1st
ASO19JBN001117,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001117,#2,784.041.2a,BATTERY: COMMIT DOMESTIC BATTERY BY STRANGULATION,F,3rd
ASO19JBN001117,#3,787.02.1a,KIDNAP-FALSE IMPRISONMENT: ADULT,F,3rd
ASO12JBN012124,#1,777.04.4b,PUBLIC ORDER CRIMES: CRIMINAL ATTEMPT SOLICIT CONSPIRE CAPITAL FEL,F,1st
ASO12JBN012124,#2,914.23,OBSTRUCTING JUSTICE: INJ RETALIATE AGAINST INFORMANT VICTIM WITNESS,F,2nd
ASO12JBN012124,#3,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO19JBN001230,#1,947.21,PAROLE VIOLATION: REF UNK/FEL/MISD/JUV NON CRITERIA CHARGE,N,N
ASO19JBN001592,#1,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO17JBN008306,#1,893.13.1a1,DRUGS-SELL: SELL METHAMPHETAMINE,F,2nd
ASO17JBN008306,#2,893.13.1c1,COCAINE-POSSESS: WIT SELL ETC WI 1000 FT SPECIFIED AREA SCH II,F,1st
ASO17JBN008306,#3,893.13.2a1,COCAINE: PURCHASE SCHEDULE II,F,2nd
ASO17JBN008306,#4,895.03,PUBLIC ORDER CRIMES: RACKETEERING VIOLATION,F,1st
ASO17JBN008306,#5,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO17JBN008306,#6,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO17JBN008306,#13,893.13.1a1,COCAINE-SELL: SCHEDULE II,F,2nd
ASO18JBN004313,#1,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN004313,#2,893.13.6a,COCAINE-POSSESS: POSSESS COCAINE,F,3rd
ASO18JBN004313,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN004313,#4,322.03.1,MOVING TRAFFIC VIOL: OPERATE MOTOR VEHICLE WO VALID LICENSE,M,2nd
ASO18JBN004313,#5,316.1935.4a,RESIST OFFICER: REFUSE STOP FLEE AFTER ORDER INJURY OR DEATH,F,2nd
ASO19JBN001680,#1,322.34.2a,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 1ST OFF,M,2nd
ASO19JBN001680,#2,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO19JBN000064,#1,316.193.1,DUI-UNLAW BLD ALCH: DUI ALCOHOL OR DRUGS,M,N
ASO19JBN000064,#2,316.1939,DUI-UNLAW BLD ALCH: REFUSE TO SUBMIT DUI TEST AFTER LIC SUSP,M,1st
ASO19JBN001378,#1,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO18JBN004270,#1,316.193.3c2,TRAFFIC OFFENSE: DUI AND SERIOUS BODILY INJURY TO ANOTHER,F,3rd
ASO18JBN004270,#2,782.04.2,HOMICIDE-WILFUL KILL: MURDER DANGEROUS DEPRAVED WO PREMEDITATION,F,1st
ASO18JBN004270,#3,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN001022,#1,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN001022,#2,812.019.1,STOLEN PROP-DEAL IN: ,F,2nd
ASO19JBN000866,#1,784.07.2b,BATTERY: ON OFFICER FIREFIGHTER EMT ETC,F,3rd
ASO19JBN000866,#2,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN000774,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000574,#1,827.071.5,OBSCENE MATERIAL-POSSESS: POSS CONTROL VIEW DEPICTION CHILD SEX CONDUCT,F,3rd
ASO19JBN001533,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN003332,#1,837.021.1,PERJURY: CONTRADICTORY STATEMENTS OFFICIAL PROCEEDING,F,3rd
ASO19JBN000920,#1,893.13.1e2,MARIJUANA-SELL: WI 1000FT WORSHIP-BUSN SCH I,F,2nd
ASO19JBN000920,#2,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO18JBN007278,#1,810.02.3a,BURGL: OF DWELLING UNARMED NO ASSLT OR BATT,F,2nd
ASO18JBN007278,#2,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO18JBN007278,#3,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007278,#4,812.019.2,STOLEN PROP-DEAL IN: ORGANIZED DEALING TRAFFIC STOLEN PROP,F,1st
ASO18JBN007278,#5,812.019.2,STOLEN PROP-DEAL IN: ORGANIZED DEALING TRAFFIC STOLEN PROP,F,1st
ASO18JBN007278,#6,539.001.8b8a,FRAUD: FALSE OWNER INFO PAWN ITEMS LESS THAN 300 DOLS,F,3rd
ASO18JBN007278,#7,539.001.8b8a,FRAUD: FALSE OWNER INFO PAWN ITEMS LESS THAN 300 DOLS,F,3rd
ASO19JBN001451,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000921,#1,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO19JBN000921,#2,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO19JBN001641,#1,784.045.1a2,AGGRAV BATTERY: PERSON USES A DEADLY WEAPON,F,2nd
ASO18JBN005166,#1,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO18JBN005166,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO18JBN005166,#3,893.13.1a1,COCAINE-POSSESS: WITH INTENT TO SELL MFG DELIV ETC SCHEDULE II,F,2nd
ASO18JBN005166,#4,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN005166,#5,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN005166,#6,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000860,#1,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO19JBN000860,#2,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN000860,#3,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO19JBN000860,#4,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN000860,#5,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO19JBN000024,#1,806.13.1b3,DAMAGE PROP-CRIM MISCH: 1000 DOLS OR MORE,F,3rd
ASO19JBN000024,#2,810.02.3b,BURGL: OF UNOCCUPIED DWELLING; UNARMED; NO ASSLT/BATT,F,2nd
ASO19JBN000024,#3,810.06,BURGL TOOLS-POSSESS: WITH INTENT TO USE,F,3rd
ASO19JBN000396,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000221,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO15JBN108573,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO15JBN108573,#2,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO15JBN108573,#3,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO15JBN108573,#4,914.23,OBSTRUCTING JUSTICE: INJ RETALIATE AGAINST INFORMANT VICTIM WITNESS,F,2nd
ASO19JBN000867,#1,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN000867,#2,812.135.2a,ROBBERY-RESID: HOME INVASION W/FIREARM OTHER DEADLY WEAPON,F,1st
ASO19JBN000867,#3,812.135.2a,ROBBERY-RESID: HOME INVASION W/FIREARM OTHER DEADLY WEAPON,F,1st
ASO18JBN005532,#1,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO18JBN005532,#2,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO17JBN007461,#1,800.03,INDECENT EXPOSURE: EXPOSURE OF SEXUAL ORGANS,M,1st
